,Token_0,Token_1,Token_2,Token_3,Token_4,Token_5,Token_6,Token_7,Token_8,Token_9,Token_10,Token_11,Token_12,Token_13,Token_14,Token_15,Token_16
Layer_0,:," """,Die, pr,achtige, bloem, blo,ei, in, die, tuin,".""","
",English, sentence,:," """
Layer_1,:," """,Die, pr,achtige, bloem, blo,ei, in, die, tuin,".""","
",English, sentence,:," """
Layer_2,:," """,Die, pr,achtige, bloem, blo,ei, in, die, tuin,".""","
",English, sentence,:," """
Layer_3,:," """,Die, pr,achtige, bloem, blo,ei, in, die, tuin,".""","
",English, sentence,:," """
Layer_4,:," """,Die, pr,achtige, bloem, blo,ei, in, die, tuin,".""","
",English, sentence,:," """
Layer_5,:," """, die, pr,achtige, bloem, blo,ei, F, die, tuin,".""","
",English, sentence, stra," """
Layer_6,:," """, die, pr,achtige, bloem, blo, flore, F, die, tuin, disp,"
",English, sentence, зав," """
Layer_7, “," """, ser, pr,景, bloem, blo,繁, F, mas, tuin,ه,"
",English, sentence, об," """
Layer_8,:," """, ser, pr,景, boutique, blo,owy, F, la, (, disp,언,English, sentence," ""..."," """
Layer_9,ولي," """, el, pr,景, تاج, Arsenal,�ר, bunga, le, garden, disp,室,English, sentence, pus," """
Layer_10," """," """, el, pr,景,ان,ë,uje, 서, inter, garden, disp, вз, language, sentence,界," """
Layer_11," """," """, el, eff,inde,isch,ë,�ר, 서, cre, garden, disp, disp, translation, sentence,互," """
Layer_12," """," """,ores, delicate,抵,花, Defens, van,lad, sim, (, beyond, fach, pari, sentence, impr," """
Layer_13,答," """, el, delicate,挑,ights,aming, van, الخ, sim, (, लग, disp, 견, sentence, impr, kr
Layer_14, bal," """, po,مت, [,iami,ائع, van, <, sim, (, लग,"""", propriu, sentence, impr," """
Layer_15, bal, simplemente, spo, delicate, mature,함을,ë,amo,玉, af,l, kost,"""", Language, sentence,ropa, spo
Layer_16,Sí,Â, bes,مت,مت, пар,ë,終, souff, af, (, man, beau, language, sentence,ropa, spo
Layer_17," """,Sí, po, bes,est,咲,je,ová, bes, af, met, dil,��, grammar, sentence, sentence, vers
Layer_18,スク, zona, po, bes, wiel, çiçek, inst,led, drag, af, de, transl,��, grammar, sentence, sentence, نحو
Layer_19," """, anal, af,美, exped, çiçek, inst,ază, die,採, van, dil, Verb, grammar, sentence, sentence, vers
Layer_20," """, Auss, af,美, exped,咲,je,ën, vol, af, van, dil, Verb, grammar, sentence," """, es
Layer_21," """,wy, af,美,也,咲,ß, in, vol, af, van, dil, ag, grammar, sentence, “, vers
Layer_22," """, af, af,achtige,也,咲, stile, in, die, af, van, dil, ag, grammar, sentence," """, ten
Layer_23," """, die, 아름다운,achtige, flowers,咲, stile, in, die, af,".""", γραμμα, verb, grammar, sentence," """, ten
Layer_24," """, die, 아름다운,achtige, Cape, Afrikaans,ouw, in, Afrikaans, Afrikaans,".""",<EOS_TOKEN>, lu, grammar, sentence," """, she
Layer_25," """, die, 아름다운,achtige,花,咲,ën, in, die, garden,".""",<EOS_TOKEN>,곱, grammar, sentence," """, she
Layer_26," """, die, 아름다운,achtige,花,咲,oms, in, garden, garden,".""", English, English, sentence,:-," """, she
Layer_27," """, Afrikaans, 아름다운,achtige,花,咲,ën, in, garden, garden,".""", English, English, sentence,:," """, she
Layer_28," """, die, 아름다운,achtige, flowers,咲,ë, in, die, garden,".""", English, English, sentence, example," """, she
Layer_29," """, die, beautiful, beauty,花, mek,ei, in, ’, garden,".""", English, English, sentence, example," """,The
Layer_30," """, die, 아름다운,achtige,花, blo,ei, in, die, tuin,".""",<EOS_TOKEN>,English, sentence,:," """,The
Layer_31," """, die, moo,achtige, blo, blo,ei, in, die, tuin,".""","
",English, sentence,:," """,The
Layer_32," """,Die, pr,achtige, bloem, blo,ei, in, die, tuin,".""","
",English, sentence,:," """,The
