,Token_0,Token_1,Token_2,Token_3,Token_4,Token_5,Token_6,Token_7,Token_8,Token_9,Token_10,Token_11,Token_12,Token_13,Token_14,Token_15,Token_16,Token_17
Layer_0,:, ,३,.," """,स,ुं,दर, फ,ू,ल, ग,ा,र,्,डन, म,ें
Layer_1,:, ,३,.," """,स,ुं,दर, फ,ू,ल, ग,ा,र,्,डन, म,ें
Layer_2,:, ,३,.," """,स,ुं,दर, फ,ू,ल, ग,ा,र,्,डन, म,ें
Layer_3,:, ,३,.," """,स,ुं,दर, फ,ू,ल, ग,ा,र,्,डन, म,ें
Layer_4,:, ,३,.," """,स,ुं,दर, फ,ू,ल, ग,ा,र,्,डन, म,ें
Layer_5,:,ầm, sol,.," """,स,ुं,दर, फ,ू,ल, ग,idor,र,्,डन, sens,ें
Layer_6,:, punya, vừa, kom," """,स,ुं, gest, फ,ू, flore, ग, singing,र,्, garden, sens, spar
Layer_7,:,逆,rd, imp," """,स,ुं,दर, फ,ू,花, ग,ط,र,ز, plein,abul, vision
Layer_8,:, somme,rd, tar," """,स,ुं, gest, फ, flowers,花, eff, vinh,र, hữu, garn, suss, gr
Layer_9,ولي,�ל,rd, imp," """, Verb,ुं, sor, לד�,花,花, fest, ύ,र,اتي, um, מח, wyk
Layer_10,ولي,�ר�, bal, imp," """, imp,ुं,景, sor,花,花, geh, ύ, مل, lief, lista, terk, wyk
Layer_11,ولي,ồn, bal,р," """,RL, majest,抵,роз,花,花, bes, whist, مل,سل, viz, ov, pav
Layer_12," """,�ר�, bal,р," """, घ, majest, sor, sor,花, fi, bes, loudly,نس,سل, viz, rit, te
Layer_13," """,�ר�, bal, imp," """, घ, majest, sor, s,花,st, bes,زه, (,ish, viz, rit, ein
Layer_14, bal, bal, pr, imp," """, pou, sen, sor, s, zeg, s, prima,شت, &,σφ, viz, rit, kr
Layer_15, bal, bal, pr, distingu, bud,onda, sen, 추, kür,شت, uz, rij,汇,چه, sm, viz, κατά, wyk
Layer_16,Sí," ""'", j,乐, hâ, Übers, sen,द, ser, mot,द, prima,ht, sens,ish, exped, lie, wyk
Layer_17, zat, eine, f, fle,Sí, bes, النق, exped, ser, wit, mit, fest, reb, sens,istan,에서,κό, zu
Layer_18, bal," """, f, fle, ad, поп, النق,onda, f, specie, bud, khu, ', sens,ade,에서, zu,esh
Layer_19,क,rip,rd, fle, ver, da,avel, exped,फ,شت, haft, junt, ',ade,ade,에서,ं, रहत
Layer_20," """,WR, f,सर, ver,ा,avel,ly, f, specie, çiçek, su, ',ِ, B,에서,े,सर
Layer_21," """," ""'",rd,स, die,ा,득,",",ा, dobra, इस, in, ',چه, B,에서,ा, रहत
Layer_22," """," """,rd,स, tar,ा,क,ल,़, resim, क,ा,リ,ِ, vig,에서,ा,सर
Layer_23, “, “,rd, व, in,ा,क, प,़,ा, प,ि, vir,ि, B,에서,ा, प
Layer_24, “, “,rd, व, व,ा, ba, प,़,हर, प,ि, p,्,inga,에서,ा,咲
Layer_25," """, “,rd, अ, व,ं,क, flowers,़,र, प,़, p,्,र,에서, Marathi,咲
Layer_26," """, “,rd,स, ग,ं,क, flower,़,र, bahç, garden, Gard, jardín, garden,에서,े,咲
Layer_27," """, “,rd, प, beautiful, 아름다운,क, flower, çiçek,र, garden, garden, Gard, bahç, garden,에서,ें,咲
Layer_28," """, प, म, प, व,ं, divert, flower, çiçek, çiçek, garden, garden, bahç, bahç, bahç, म,ें,咲
Layer_29," """, “, म, vườn, beautiful, beautiful,ny, çiçek, çiçek,र, garden, garden, Gard,्,डन, म,ें,咲
Layer_30," """," """, व, व, व,ुं,्, 꽃,花,ल, ब,ा,र,्,डन, म,ें,咲
Layer_31," """, ब, म, म,स,ुं,र, फ,ू,ल, ब,ा,र,्,न, म,ें, ख
Layer_32," """,३,., म,स,ुं,दर, फ,ू,ल, ग,ा,र,्,डन, म,ें, ख
